ID,SMILES
3A1,O=C(N3)/C(S/C3=N/C2=C(N(=O)=O)C=CC=C2)=C/C1=CC=C(OC)C(OC)=C1
3A2,O=C(N3)/C(S/C3=N/C2=C(N(=O)=O)C=CC=C2)=C/C1=CC=C(OC)C=C1OC
3A3,O=C(N3)/C(S/C3=N/C2=C(N(=O)=O)C=CC=C2)=C/C1=CC=C(O)C=C1O
Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
